title|price|size|block|type|floor|year
房型正气，两房朝南，繁华地段，近地铁8号线房主自荐|375|70|民星路568弄|2室1厅|高楼层(共6层)|1997年建板楼  
翔殷四村 2室1厅 378万|378|64|翔殷四村|2室1厅|高楼层(共6层)|1997年建板楼  
佳龙花园 2室1厅 760万|760|98|佳龙花园|2室1厅|高楼层(共11层)|2004年建板楼  
满五唯一，板式三房！南北通透！靠.近地铁|795|110|长阳新苑|3室2厅|高楼层(共6层)|1998年建板楼  
送露台，俯瞰高尔夫球场，精装复式，满五少税，近万达|1230|144|香阁丽苑|4室2厅|高楼层(共5层)|2004年建板楼  
精装修三房，西山墙全明户型，满五年唯一，诚意出售房主自荐|438|77|怡佳苑|3室1厅|中楼层(共7层)|1994年建板楼  
两房朝南 南北通 户型正 双天井 边套 地铁100米 六一|610|87|政通路100弄|3室1厅|低楼层(共7层)|1998年建板楼  
价格便宜！97年电梯房，税费少，拎包入住，看房方便|355|73|平凉小区|2室1厅|低楼层(共19层)|1997年建塔楼  
城市庭园 2室1厅 550万|550|91|城市庭园|2室1厅|低楼层(共18层)|2008年建板楼  
工农三村少有户型 精装百姓装潢 楼层佳 采光好|390|79|工农三村|2室1厅|低楼层(共6层)|1990年建板楼  
明丰阳光苑  看房有钥匙《9楼》一梯二户《板式房型》|950|135|明丰阳光苑|3室2厅|中楼层(共14层)|2003年建板楼  
阳明新城+高区+品质小区+业主诚意出售+看房方便|530|66|阳明新城|2室2厅|中楼层(共35层)|1997年建塔楼  
电梯两房+可改三房+全明户型+到价可签|730|116|东方文苑|2室2厅|低楼层(共11层)|2002年建板楼  
05年次新小区、精装两房、随时可看房详情致电维护人|650|82|恒阳花苑|2室2厅|中楼层(共27层)|2005年建板楼  
中轩丽苑 2室2厅 700万|700|94|中轩丽苑|2室2厅|中楼层(共14层)|2004年建板楼  
时代正气南北2房+全明户型+一楼带院子+税费少|570|81|新江湾时代花园|2室2厅|低楼层(共6层)|2000年建板楼  
书香门第 买房不能犹豫 犹豫就会错过了|850|124|才茂公寓|3室2厅|低楼层(共22层)|1997年建塔楼  
到地铁426米厅主卧朝南电梯房精装修拎包入住电梯房|780|101|宁阳福邸|3室2厅|高楼层(共18层)|2010年建板楼  
业主急售、价格好谈、满五唯一、拎包入住。特诚意|398|71|翔顺公寓|2室1厅|高楼层(共6层)|1997年建板楼  
宁国路地铁站，内环高架，配套齐全，商圈成熟|420|134|中通大厦|3室2厅|中楼层(共29层)|1997年建塔楼  
南北通透+一梯2户+送60平大露台+精装修+拎包入住|720|119|辽源一村|3室2厅|高楼层(共6层)|板楼  
市光一村 2室1厅 309万|309|57|市光一村|2室1厅|高楼层(共6层)|1989年建板楼  
精装修+拎包入住+南北通透+全明户型+置换诚售房主自荐|800|114|恒阳花苑|3室2厅|低楼层(共28层)|2007年建板楼  
市光一村 3室1厅 365万|365|71|市光一村|3室1厅|高楼层(共6层)|1987年建板楼  
满五年唯一，带天井，交通便利，板块成熟。|328|48|鞍山四村第一小区|1室1厅|低楼层(共6层)|1979年建板楼  
8号地铁直达+6复7楼带阁楼+紫金广场+得房率90%|650|107|控江路1455弄|4室2厅|高楼层(共6层)|2003年建板楼  
复旦大学，大平层，户型好，看房子方便|1425|181|泰宝华庭(公寓)|4室2厅|低楼层(共6层)|2011年建板楼  
内环高区电梯房+双南方正+近紫荆广场+近新华医院|695|108|华升公寓|3室2厅|高楼层(共34层)|1997年建板楼  
得房率高有天井+地铁房+闹中取静+全明户型|280|41|幸福公寓|1室1厅|低楼层(共7层)|1994年建板楼  
次新房龄，带电梯，边套全明，总价低单价低，诚心出售|470|90|松花江路105号|2室2厅|高楼层(共20层)|2000年建塔楼  
有产权车位+南北通精装修+赠送地下储藏室+地铁大三房|1090|130|紫罗兰家苑|3室2厅|低楼层(共17层)|2005年建板楼  
满五年唯一 房型正气  全明户型 固定车位  采光充足|420|68|城市庭园|1室1厅|高楼层(共24层)|2008年建板楼  
改善型三房，五角场地段，楼层好，景观房，满五唯一！|760|111|怡福苑|3室2厅|中楼层(共23层)|2005年建塔楼  
售后公房+采光无遮挡+全明户型|535|77|海鸿公寓|2室1厅|中楼层(共6层)|1996年建板楼  
满五唯一税少 房东诚心出售 价格可谈 看房方便|1720|228|仁恒怡庭|5室3厅|低楼层(共14层)|2011年建板楼  
内环内滨江板块+花园位置+婚房装修+二梯队QI一+随时看|715|79|圣骊河滨苑|2室2厅|低楼层(共17层)|2009年建板楼  
边套全明 3楼 地铁800米 满五唯一 61 售后公房房主自荐|430|67|国和路429号|2室1厅|中楼层(共6层)|1995年建板楼  
内江二村南北全明两房 售后公房 税费少 随时看|445|86|内江二村|2室1厅|高楼层(共24层)|1989年建塔楼  
次新小区 精装修3房 近五角场 财大校区|760|91|合生江湾国际公寓|3室2厅|中楼层(共18层)|2012年建板楼  
2009年电梯洋房+精装修+双轨交通+楼层好|710|85|新江湾佳苑|2室2厅|中楼层(共8层)|2009年建板楼  
现在的市场，价格就是你说了算，还在犹豫什么|460|85|海鹏花苑|2室1厅|低楼层(共24层)|1997年建塔楼  
此房满二，税费少，业主出国，，出售此房，看房便利|820|87|保利维拉家园|3室2厅|高楼层(共7层)|2011年建板楼  
