|price|size|type|floor|year
407|225|39|2|7|1993
408|235|44|2|6|1992
409|270|40|2|5|1974
410|908|126|5|6|2002
411|370|52|3|6|1993
412|350|55|4|6|1987
413|216|42|2|7|1995
414|540|66|3|28|2005
415|315|54|3|6|2006
416|270|50|3|6|1986
417|435|42|2|6|1984
418|738|123|5|24|1997
419|320|64|3|6|1993
420|355|56|3|7|1997
421|825|113|5|8|2003
422|640|91|3|22|1997
423|205|46|2|6|1994
424|270|37|1|6|1988
425|190|39|1|6|1993
426|650|118|5|27|2000
427|565|102|4|7|1997
428|530|88|4|6|2002
429|320|60|3|18|1991
430|940|135|5|12|2004
431|570|106|5|7|1997
432|1200|143|5|8|2009
433|238|40|2|6|1988
434|860|125|5|6|2001
435|1120|136|5|8|2007
436|325|59|3|6|1993
437|820|127|5|11|1999
438|590|82|3|24|2006
439|508|74|3|6|1996
440|550|76|4|17|2005
441|838|119|5|16|2003
442|288|51|3|6|1984
443|500|94|3|6|1997
444|315|47|2|5|1992
445|545|89|3|25|1997
446|235|42|2|6|1985
447|520|93|4|24|1998
448|405|63|3|7|1999
449|1650|173|5|12|2012
450|780|99|4|17|2003
451|255|46|2|5|1978
452|810|104|4|11|2002
453|540|72|3|6|2000
454|2100|218|6|17|2014
455|323|48|2|6|1987
456|510|91|4|6|1996
457|1150|151|5|22|2003
458|560|93|4|6|2007
459|590|82|4|6|2000
460|310|57|3|6|1993
461|850|112|5|34|1997
462|540|89|4|7|1996
463|205|40|2|7|1995
464|398|59|5|5|1979
465|265|34|1|7|1994
466|275|51|3|6|1990
467|324|54|3|6|1994
468|220|39|2|6|1977
469|190|37|1|6|1994
470|770|124|5|6|2000
471|680|101|4|24|1998
472|309|56|3|6|1991
473|680|129|5|6|1999
474|770|108|4|15|2004
475|530|77|4|6|1995
476|182|39|2|6|1991
477|200|33|1|5|1984
478|198|32|2|5|1978
479|390|61|3|7|1995
480|900|143|5|21|2000
481|400|78|3|17|2005
482|245|42|2|6|1974
483|200|44|2|7|1996
484|650|68|2|22|2009
485|270|42|3|5|1981
486|520|89|4|7|1995
487|380|51|2|6|1982
488|516|81|3|12|1987
489|368|50|3|5|1979
490|610|80|4|6|1997
491|305|62|3|6|1993
492|220|39|2|5|1981
493|450|66|3|30|
494|730|107|4|6|2002
495|780|97|4|6|2002
496|580|92|4|6|2003
497|1280|137|4|17|2014
498|550|77|4|6|1995
499|3100|618|7|3|
500|160|28|2|6|1981
501|420|57|2|24|2004
502|300|51|3|6|
503|650|105|5|24|1997
504|720|128|4|21|1996
505|420|82|3|30|2005
506|370|54|3|5|1967
507|750|131|5|6|2002
508|370|65|3|7|1995
509|230|42|3|6|1985
510|565|79|3|35|1997
511|475|68|3|30|
512|228|39|2|6|1985
513|650|91|4|6|2001
514|1520|168|5|12|2012
515|720|105|4|12|2003
516|860|91|4|18|2014
517|640|87|3|12|2006
518|1030|128|5|11|2007
519|415|75|4|6|
520|320|38|2|5|1973
521|250|47|2|6|1998
522|410|56|3|6|1981
523|193|35|2|5|2000
524|415|82|3|30|2005
